date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:15:07	4177/4177	---M-Z	200	added ('OK')	text/html	etag:W/%225d4a8041-1051%22	https://gtfobins.github.io/gtfobins/journalctl/	C:/Users/Auriga/Downloads/gtfobins/gtfobins/gtfobins.github.io/gtfobins/journalctl/index.html	(from https://gtfobins.github.io/)
15:15:08	4696/4696	---M-Z	200	added ('OK')	text/html	etag:W/%225d4a8041-1258%22	https://gtfobins.github.io/gtfobins/jq/	C:/Users/Auriga/Downloads/gtfobins/gtfobins/gtfobins.github.io/gtfobins/jq/index.html	(from https://gtfobins.github.io/)
15:15:09	9159/9159	---M-Z	200	added ('OK')	text/html	etag:W/%225d4a8041-23c7%22	https://gtfobins.github.io/gtfobins/lua/	C:/Users/Auriga/Downloads/gtfobins/gtfobins/gtfobins.github.io/gtfobins/lua/index.html	(from https://gtfobins.github.io/)
15:15:09	4959/4959	---M-Z	200	added ('OK')	text/html	etag:W/%225d4a8041-135f%22	https://gtfobins.github.io/gtfobins/ld.so/	C:/Users/Auriga/Downloads/gtfobins/gtfobins/gtfobins.github.io/gtfobins/ld.so/index.html	(from https://gtfobins.github.io/)
15:15:10	5640/5640	---M-Z	200	added ('OK')	text/html	etag:W/%225d4a8041-1608%22	https://gtfobins.github.io/gtfobins/make/	C:/Users/Auriga/Downloads/gtfobins/gtfobins/gtfobins.github.io/gtfobins/make/index.html	(from https://gtfobins.github.io/)
15:15:11	4646/4646	---M-Z	200	added ('OK')	text/html	etag:W/%225d4a8041-1226%22	https://gtfobins.github.io/gtfobins/logsave/	C:/Users/Auriga/Downloads/gtfobins/gtfobins/gtfobins.github.io/gtfobins/logsave/index.html	(from https://gtfobins.github.io/)
15:16:18	3905/3905	---M-Z	200	added ('OK')	text/html	etag:W/%225d4a8041-f41%22	https://gtfobins.github.io/gtfobins/ltrace/	C:/Users/Auriga/Downloads/gtfobins/gtfobins/gtfobins.github.io/gtfobins/ltrace/index.html	(from https://gtfobins.github.io/)
15:16:20	4199/4199	---M-Z	200	added ('OK')	text/html	etag:W/%225d4a8041-1067%22	https://gtfobins.github.io/gtfobins/mail/	C:/Users/Auriga/Downloads/gtfobins/gtfobins/gtfobins.github.io/gtfobins/mail/index.html	(from https://gtfobins.github.io/)
15:16:22	4256/4256	---M-Z	200	added ('OK')	text/html	etag:W/%225d4a8041-10a0%22	https://gtfobins.github.io/gtfobins/man/	C:/Users/Auriga/Downloads/gtfobins/gtfobins/gtfobins.github.io/gtfobins/man/index.html	(from https://gtfobins.github.io/)
15:16:23	4995/4995	---M-Z	200	added ('OK')	text/html	etag:W/%225d4a8041-1383%22	https://gtfobins.github.io/gtfobins/more/	C:/Users/Auriga/Downloads/gtfobins/gtfobins/gtfobins.github.io/gtfobins/more/index.html	(from https://gtfobins.github.io/)
